2021-07-11 15:35:59.737 GMT [1260] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2021-07-10 21:45:38 GMT
2021-07-11 15:35:59.799 GMT [1368] ВАЖНО:  система баз данных запускается
2021-07-11 15:35:59.880 GMT [3224] ВАЖНО:  система баз данных запускается
2021-07-11 15:35:59.954 GMT [2252] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.033 GMT [9300] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.103 GMT [12764] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.183 GMT [3492] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.252 GMT [12608] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.325 GMT [1136] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.392 GMT [5740] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.470 GMT [6316] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.543 GMT [12728] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.613 GMT [4920] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.678 GMT [11252] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.754 GMT [10988] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.827 GMT [3600] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.905 GMT [15020] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:00.989 GMT [2420] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.072 GMT [1140] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.141 GMT [7620] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.224 GMT [6236] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.293 GMT [9908] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.379 GMT [14364] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.453 GMT [15056] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.521 GMT [12276] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.608 GMT [7224] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.773 GMT [1604] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.861 GMT [12848] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:01.942 GMT [5016] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.010 GMT [10916] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.086 GMT [15076] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.159 GMT [7136] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.230 GMT [6116] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.297 GMT [2676] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.369 GMT [6652] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.443 GMT [5428] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.514 GMT [1504] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.580 GMT [3460] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.626 GMT [1260] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2021-07-11 15:36:02.652 GMT [10584] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.661 GMT [1260] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/1894080
2021-07-11 15:36:02.661 GMT [1260] СООБЩЕНИЕ:  неверная длина записи по смещению 0/18940B8: ожидалось 24, получено 0
2021-07-11 15:36:02.661 GMT [1260] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/1894080
2021-07-11 15:36:02.725 GMT [9224] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.795 GMT [15008] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.860 GMT [9092] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.927 GMT [11380] ВАЖНО:  система баз данных запускается
2021-07-11 15:36:02.939 GMT [12668] СООБЩЕНИЕ:  система БД готова принимать подключения
2021-07-11 15:36:07.789 GMT [12668] СООБЩЕНИЕ:  получен запрос на быстрое выключение
2021-07-11 15:36:07.851 GMT [12668] СООБЩЕНИЕ:  прерывание всех активных транзакций
2021-07-11 15:36:07.853 GMT [2672] Р’РђР–РќРћ:  Р·Р°РєСЂС‹С‚РёРµ РїРѕРґРєР»СЋС‡РµРЅРёСЏ РїРѕ РєРѕРјР°РЅРґРµ Р°РґРјРёРЅРёСЃС‚СЂР°С‚РѕСЂР°
2021-07-11 15:36:07.878 GMT [12668] СООБЩЕНИЕ:  рабочий процесс: logical replication launcher (PID 10912) завершился с кодом выхода 1
2021-07-11 15:36:07.881 GMT [7264] СООБЩЕНИЕ:  выключение
2021-07-11 15:36:08.004 GMT [2400] ВАЖНО:  система баз данных останавливается
2021-07-11 15:36:08.147 GMT [12668] СООБЩЕНИЕ:  система БД выключена
